,DATE,1610612749,1610612761,1610612755,1610612738,1610612754,1610612751,1610612753,1610612765,1610612766,1610612748,1610612764,1610612737,1610612741,1610612739,1610612752,1610612744,1610612743,1610612745,1610612757,1610612762,1610612760,1610612746,1610612759,1610612758,1610612747,1610612750,1610612742,1610612763,1610612740,1610612756
0,2019-10-22,1651.41,1632.93,1574.5,1559.17,1551.66,1508.08,1508.08,1500.93,1486.62,1486.62,1435.01,1411.37,1350.08,1320.34,1299.1,1624.02,1598.5,1590.35,1590.35,1566.78,1559.17,1551.66,1551.66,1486.62,1472.21,1464.93,1442.63,1442.63,1442.63,1320.34
1,2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2019-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2019-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2019-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2019-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2019-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2019-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2019-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2019-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2019-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2019-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2019-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2019-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2019-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2019-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2019-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2019-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2019-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2019-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2019-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2019-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2019-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2019-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2019-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2019-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2019-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2019-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2019-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2019-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
