,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,PTS_away,HOME_TEAM_WINS
0,2014-10-28,1610612747,1610612745,2014,1610612747,90.0,108.0,0
1,2014-10-28,1610612759,1610612742,2014,1610612759,101.0,100.0,1
2,2014-10-28,1610612740,1610612753,2014,1610612740,101.0,84.0,1
3,2014-10-29,1610612757,1610612760,2014,1610612757,106.0,89.0,1
4,2014-10-29,1610612758,1610612744,2014,1610612758,77.0,95.0,0
5,2014-10-29,1610612756,1610612747,2014,1610612756,119.0,99.0,1
6,2014-10-29,1610612762,1610612745,2014,1610612762,93.0,104.0,0
7,2014-10-29,1610612743,1610612765,2014,1610612743,89.0,79.0,1
8,2014-10-29,1610612752,1610612741,2014,1610612752,80.0,104.0,0
9,2014-10-29,1610612763,1610612750,2014,1610612763,105.0,101.0,1
10,2014-10-29,1610612761,1610612737,2014,1610612761,109.0,102.0,1
11,2014-10-29,1610612748,1610612764,2014,1610612748,107.0,95.0,1
12,2014-10-29,1610612738,1610612751,2014,1610612738,121.0,105.0,1
13,2014-10-29,1610612754,1610612755,2014,1610612754,103.0,91.0,1
14,2014-10-29,1610612766,1610612749,2014,1610612766,108.0,106.0,1
15,2014-10-30,1610612746,1610612760,2014,1610612746,93.0,90.0,1
16,2014-10-30,1610612742,1610612762,2014,1610612742,120.0,102.0,1
17,2014-10-30,1610612739,1610612752,2014,1610612739,90.0,95.0,0
18,2014-10-30,1610612750,1610612765,2014,1610612750,97.0,91.0,1
19,2014-10-30,1610612753,1610612764,2014,1610612753,98.0,105.0,0
20,2014-10-31,1610612747,1610612746,2014,1610612747,111.0,118.0,0
21,2014-10-31,1610612758,1610612757,2014,1610612758,103.0,94.0,1
22,2014-10-31,1610612756,1610612759,2014,1610612756,94.0,89.0,1
23,2014-10-31,1610612749,1610612755,2014,1610612749,93.0,81.0,1
24,2014-10-31,1610612741,1610612739,2014,1610612741,108.0,114.0,0
25,2014-10-31,1610612754,1610612763,2014,1610612754,89.0,97.0,0
26,2014-11-01,1610612744,1610612747,2014,1610612744,127.0,104.0,1
27,2014-11-01,1610612762,1610612756,2014,1610612762,118.0,91.0,1
28,2014-11-01,1610612760,1610612743,2014,1610612760,102.0,91.0,1
29,2014-11-01,1610612750,1610612741,2014,1610612750,105.0,106.0,0
30,2014-11-01,1610612745,1610612738,2014,1610612745,104.0,90.0,1
31,2014-11-01,1610612765,1610612751,2014,1610612765,90.0,102.0,0
32,2014-11-01,1610612737,1610612754,2014,1610612737,102.0,92.0,1
33,2014-11-01,1610612764,1610612749,2014,1610612764,108.0,97.0,1
34,2014-11-01,1610612755,1610612748,2014,1610612755,96.0,114.0,0
35,2014-11-01,1610612753,1610612761,2014,1610612753,95.0,108.0,0
36,2014-11-01,1610612766,1610612763,2014,1610612766,69.0,71.0,0
37,2014-11-01,1610612740,1610612742,2014,1610612740,104.0,109.0,0
38,2014-11-02,1610612757,1610612744,2014,1610612757,90.0,95.0,0
39,2014-11-02,1610612752,1610612766,2014,1610612752,96.0,93.0,1
40,2014-11-02,1610612748,1610612761,2014,1610612748,107.0,102.0,1
41,2014-11-02,1610612746,1610612758,2014,1610612746,92.0,98.0,0
42,2014-11-03,1610612746,1610612762,2014,1610612746,107.0,101.0,1
43,2014-11-03,1610612743,1610612758,2014,1610612743,105.0,110.0,0
44,2014-11-03,1610612742,1610612738,2014,1610612742,118.0,113.0,1
45,2014-11-03,1610612763,1610612740,2014,1610612763,93.0,81.0,1
46,2014-11-03,1610612751,1610612760,2014,1610612751,116.0,85.0,1
47,2014-11-03,1610612755,1610612745,2014,1610612755,93.0,104.0,0
48,2014-11-04,1610612747,1610612756,2014,1610612747,106.0,112.0,0
49,2014-11-04,1610612757,1610612739,2014,1610612757,101.0,82.0,1
50,2014-11-04,1610612740,1610612766,2014,1610612740,100.0,91.0,1
51,2014-11-04,1610612741,1610612753,2014,1610612741,98.0,90.0,1
52,2014-11-04,1610612761,1610612760,2014,1610612761,100.0,88.0,1
53,2014-11-04,1610612752,1610612764,2014,1610612752,83.0,98.0,0
54,2014-11-04,1610612748,1610612745,2014,1610612748,91.0,108.0,0
55,2014-11-04,1610612754,1610612749,2014,1610612754,81.0,87.0,0
56,2014-11-05,1610612744,1610612746,2014,1610612744,121.0,104.0,1
57,2014-11-05,1610612758,1610612743,2014,1610612758,131.0,109.0,1
58,2014-11-05,1610612762,1610612739,2014,1610612762,102.0,100.0,1
59,2014-11-05,1610612756,1610612763,2014,1610612756,91.0,102.0,0
60,2014-11-05,1610612759,1610612737,2014,1610612759,94.0,92.0,1
61,2014-11-05,1610612764,1610612754,2014,1610612764,96.0,94.0,1
62,2014-11-05,1610612749,1610612741,2014,1610612749,86.0,95.0,0
63,2014-11-05,1610612765,1610612752,2014,1610612765,98.0,95.0,1
64,2014-11-05,1610612751,1610612750,2014,1610612751,91.0,98.0,0
65,2014-11-05,1610612738,1610612761,2014,1610612738,107.0,110.0,0
66,2014-11-05,1610612755,1610612753,2014,1610612755,89.0,91.0,0
67,2014-11-05,1610612766,1610612748,2014,1610612766,96.0,89.0,1
68,2014-11-06,1610612757,1610612742,2014,1610612757,108.0,87.0,1
69,2014-11-06,1610612745,1610612759,2014,1610612745,98.0,81.0,1
70,2014-11-07,1610612743,1610612739,2014,1610612743,101.0,110.0,0
71,2014-11-07,1610612762,1610612742,2014,1610612762,82.0,105.0,0
72,2014-11-07,1610612756,1610612758,2014,1610612756,112.0,114.0,0
73,2014-11-07,1610612760,1610612763,2014,1610612760,89.0,91.0,0
74,2014-11-07,1610612761,1610612764,2014,1610612761,103.0,84.0,1
75,2014-11-07,1610612765,1610612749,2014,1610612765,98.0,95.0,1
76,2014-11-07,1610612751,1610612752,2014,1610612751,110.0,99.0,1
77,2014-11-07,1610612738,1610612754,2014,1610612738,101.0,98.0,1
78,2014-11-07,1610612755,1610612741,2014,1610612755,115.0,118.0,0
79,2014-11-07,1610612753,1610612750,2014,1610612753,112.0,103.0,1
80,2014-11-07,1610612766,1610612737,2014,1610612766,122.0,119.0,1
81,2014-11-08,1610612759,1610612740,2014,1610612759,99.0,100.0,0
82,2014-11-08,1610612749,1610612763,2014,1610612749,93.0,92.0,1
83,2014-11-08,1610612745,1610612744,2014,1610612745,87.0,98.0,0
84,2014-11-08,1610612741,1610612738,2014,1610612741,101.0,106.0,0
85,2014-11-08,1610612748,1610612750,2014,1610612748,102.0,92.0,1
86,2014-11-08,1610612737,1610612752,2014,1610612737,103.0,96.0,1
87,2014-11-08,1610612754,1610612764,2014,1610612754,90.0,97.0,0
88,2014-11-08,1610612746,1610612757,2014,1610612746,106.0,102.0,1
89,2014-11-09,1610612747,1610612766,2014,1610612747,107.0,92.0,1
